n_samples,RMSE mean,RMSE std,R2 mean,R2 std
3.0,13.794606760890286,2.782665370393725,0.34126783662931026,0.26471392927661025
6.0,12.263669219052378,2.074207891504917,0.4847648037301839,0.17335831942507726
9.0,11.25191596201759,1.9075493038815683,0.5668658501817304,0.14455940868491796
12.0,10.263810417253785,1.5293854240800868,0.641730509822035,0.09724518400898731
15.0,9.567966359578872,1.2493676624500374,0.6894439969395334,0.07418970530241951
18.0,9.076318409209797,1.1129379943044793,0.7202694257727932,0.0677040565018125
21.0,8.712795077681555,1.1220713190544633,0.7416251306933539,0.0686997327126694
24.0,8.317896248091252,0.9530233434021912,0.7640678812576495,0.061539731861394574
27.0,8.068658057054499,0.8844197481368482,0.778475190223528,0.055093436435142217
30.0,7.819706003668262,0.8633847041129588,0.7926585747152974,0.04673610630481586
33.0,7.641922586523112,0.8762888671351249,0.8018869881118406,0.045127549437423135
36.0,7.498716445777261,0.8202353152998173,0.8096337938142519,0.04022612659040542
39.0,7.385902473248677,0.7568429095355121,0.8151936243645997,0.03908286936951522
42.0,7.311483494557742,0.7282474251409191,0.8189196930415201,0.03776000002580926
45.0,7.187373261268205,0.7076535072623991,0.825188314167671,0.03523678992154512
48.0,7.091761317366714,0.6689965809225076,0.8299115731021739,0.03305963319938709
51.0,7.006773377689736,0.6716723067579795,0.8339767307218974,0.032576979433621735
54.0,6.912574143261178,0.670184561649917,0.8386070058988035,0.03075202106252644
57.0,6.841660838003418,0.6678221509389625,0.8418556784127433,0.030693501476451123
60.0,6.784943858318429,0.6519005828458787,0.8444048172210986,0.03030553611518294
63.0,6.746685552235345,0.6503026209242554,0.8462323349497356,0.02938796169453962
66.0,6.6799234279305315,0.6142298668572759,0.8492375747338688,0.02829075794887441
69.0,6.633050204255062,0.5756902565101021,0.8513454593795844,0.02734427990248299
72.0,6.601322264774945,0.5633364265339573,0.8528828266380606,0.026243273895870858
75.0,6.569595584173146,0.5490326075144651,0.8541752037830912,0.026766157860206908
78.0,6.520322038380571,0.5339316743745783,0.8563231309902097,0.02643922973004504
81.0,6.495608989290378,0.49046341120275344,0.8574324072527112,0.025346733801869876
84.0,6.467401460152884,0.5000701687368264,0.8586987199418332,0.025196963737089604
87.0,6.447238829212036,0.49428127697431545,0.8596337916437077,0.024394425630791423
90.0,6.42761182314282,0.47963217216131515,0.8605204305621917,0.023700914760175593
93.0,6.406226807857738,0.48993054507400136,0.861548593597172,0.022978754987808738
96.0,6.3727518134638474,0.47480823412735496,0.8629744315575363,0.022622687278472015
99.0,6.353705929393266,0.4765500982789989,0.8637451834320266,0.02276952247597866
